id,ts_unix_ms,x_m,y_m,theta_rad,connected,ssid,bssid,rssi_dbm,freq_mhz,roam_event,disconnect_event,disconnect_streak_s,ping_loss_pct,ping_avg_ms
1,1767920825032,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
2,1767920825537,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
3,1767920826041,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
4,1767920826543,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
5,1767920827047,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
6,1767920827551,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
7,1767920828055,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
8,1767920828559,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
9,1767920829063,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
10,1767920829567,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
11,1767920830083,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
12,1767920830587,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
13,1767920831090,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
14,1767920831593,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
15,1767920832098,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
16,1767920832602,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
17,1767920833107,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
18,1767920833611,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
19,1767920834115,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
20,1767920834619,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
21,1767920835137,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
22,1767920835641,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-57,5240,0,0,0.0,,
23,1767920836145,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
24,1767920836648,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
25,1767920837151,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
26,1767920837655,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
27,1767920838162,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
28,1767920838665,0.0,0.0,0.0,1,Lexxpluss-Biz,a8:29:48:c8:8f:61,-56,5240,0,0,0.0,,
