ts_s,x_m,y_m,rssi_dbm,ssid,bssid,roam_event
0.0,0.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
1.0,0.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
2.0,1.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
3.0,1.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
4.0,2.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
5.0,2.5,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
6.0,3.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
7.0,3.5,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
8.0,4.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
9.0,4.5,0.0,-63,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
10.0,5.0,0.0,-60,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
11.0,5.5,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
12.0,6.0,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
13.0,6.5,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
14.0,7.0,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
15.0,7.5,0.0,-63,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
16.0,8.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
17.0,8.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
18.0,9.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
19.0,9.5,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
20.0,10.0,0.0,-61,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
21.0,10.5,0.0,-63,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
22.0,11.0,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
23.0,11.5,0.0,-62,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
24.0,12.0,0.0,-59,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
25.0,12.5,0.0,-56,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
26.0,13.0,0.0,-53,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
27.0,13.5,0.0,-55,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
28.0,14.0,0.0,-50,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
29.0,14.5,0.0,-51,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
30.0,15.0,0.0,-51,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
31.0,15.5,0.0,-52,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
32.0,16.0,0.0,-50,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
33.0,16.5,0.0,-51,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
34.0,17.0,0.0,-53,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
35.0,17.5,0.0,-53,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
36.0,18.0,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
37.0,18.5,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
38.0,19.0,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
39.0,19.5,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
40.0,20.0,0.0,-47,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
41.0,20.5,0.0,-47,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
42.0,21.0,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
43.0,21.5,0.0,-44,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
44.0,22.0,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
45.0,22.5,0.0,-38,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
46.0,23.0,0.0,-41,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
47.0,23.5,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
48.0,24.0,0.0,-44,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
49.0,24.5,0.0,-43,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
50.0,25.0,0.0,-44,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
51.0,25.5,0.0,-40,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
52.0,26.0,0.0,-41,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
53.0,26.5,0.0,-42,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
54.0,27.0,0.0,-43,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
55.0,27.5,0.0,-49,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
56.0,28.0,0.0,-44,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
57.0,28.5,0.0,-41,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
58.0,29.0,0.0,-45,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
59.0,29.5,0.0,-38,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
60.0,30.0,0.0,-37,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
61.0,30.5,0.0,-30,Waveform Wizardry,cc:ba:bd:a2:c4:07,False
